Disaster,Location,District,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Anamaduwa,Puttalam,6,30,17.4,0
Cyclone,Puttalam,Puttalam,2,12,10.7,0
Cyclone,Wennappuwa,Puttalam,11,28,10.1,1
Cyclone,Chilaw,Puttalam,6,20,17.4,0
Cyclone,Wennappuwa,Puttalam,12,11,12.3,0
Cyclone,Vanathavilluwa,Puttalam,9,12,15.2,0
Cyclone,Karuwalagaswewa,Puttalam,6,22,17.4,0
Cyclone,Kudirippuwa,Puttalam,5,14,14.2,1
Cyclone,Mudukattuwa North,Puttalam,5,17,14.2,1
Cyclone,Ambakandavila,Puttalam,5,14,14.2,1
Cyclone,Wennappuwa,Puttalam,10,24,11.0,1
Cyclone,Mudukatuwa North,Puttalam,12,5,12.3,1
Cyclone,Mahawewa,Puttalam,6,21,17.4,1
Cyclone,Muhudukattuwa South,Puttalam,12,5,12.3,1
Cyclone,Dangaswewa,Puttalam,5,4,14.2,1
Cyclone,Madurankuliya,Puttalam,10,8,11.0,1
Cyclone,Mahawewa,Puttalam,4,21,8.2,1
Cyclone,Dankotuwa,Puttalam,8,15,16.4,0
Cyclone,Puttalam,Puttalam,6,22,17.4,0
Cyclone,Meda Katukenda,Puttalam,10,28,11.0,1
Cyclone,Mahawewa,Puttalam,4,27,8.2,1
Cyclone,Mahawewa,Puttalam,5,7,14.2,0
Cyclone,Mahawewa,Puttalam,12,12,12.3,0
Cyclone,Mahawewa,Puttalam,6,14,17.4,0
Cyclone,Ettale,Puttalam,10,8,11.0,1
Cyclone,Mahawewa,Puttalam,6,17,17.4,0
Cyclone,Chilaw,Puttalam,6,8,17.4,0
Cyclone,Ihala Puliyankulama,Puttalam,8,4,16.4,1
Cyclone,Chilaw,Puttalam,6,8,17.4,1
Cyclone,Kalpitiya,Puttalam,7,29,16.9,1
Cyclone,Mahawewa,Puttalam,9,9,15.2,1
Cyclone,Nattandiya,Puttalam,12,1,12.3,1
Cyclone,Chilaw,Puttalam,8,3,16.4,0
Cyclone,Mundalama,Puttalam,8,25,16.4,0
Cyclone,Vanathavilluwa,Puttalam,11,9,10.1,0
Cyclone,Mundalama,Puttalam,11,5,10.1,0
Cyclone,Nattandiya,Puttalam,5,5,14.2,1
Cyclone,Puttalam,Puttalam,8,4,16.4,0
Cyclone,Mugunuwatawana,Puttalam,12,26,12.3,1
Cyclone,Palliwasalthure,Puttalam,4,4,8.2,1
Cyclone,Chilaw,Puttalam,8,4,16.4,1
Cyclone,Nattandiya,Puttalam,10,28,11.0,1
Cyclone,Kokkavila,Puttalam,4,4,8.2,1
Cyclone,Pallama,Puttalam,5,30,14.2,1
Cyclone,Puttalam,Puttalam,1,12,12.8,0
Cyclone,Thissogama,Puttalam,8,23,16.4,1
Cyclone,Mahawewa,Puttalam,6,19,17.4,1
Cyclone,Madampe,Puttalam,9,10,15.2,1
Cyclone,Mundalama,Puttalam,8,1,16.4,1
Cyclone,Puttalam,Puttalam,3,11,8.0,1
Cyclone,Dankotuwa,Puttalam,6,20,17.4,0
Cyclone,Pallama,Puttalam,6,21,17.4,1
Cyclone,Mahawewa,Puttalam,5,10,14.2,1
Cyclone,Mahawewa,Puttalam,6,20,17.4,1
Cyclone,Nawagattegama,Puttalam,2,13,10.7,0
Cyclone,Puttalam,Puttalam,7,24,16.9,0
