Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Duration (d),Source,Year,Month,Landslide
LA2008,LANDSLIDE,lka009,lka009002,lka009002018,,Kegalle,2008-04-29,0,EOC,2008,4,1
LA2008,LANDSLIDE,lka009,lka009002,lka009002027,,Kegalle,2008-04-29,0,EOC,2008,4,1
RA2008,RAINS,lka009,lka009002,lka009002015,,Kegalle,2008-07-18,0,Ds Office,2008,7,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Gonagamuwa(GN),Kegalle,2009-04-09,0,Ds Office,2009,4,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Kabulumulla(GN),Kegalle,2009-04-09,0,Ds Office,2009,4,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Kirikohuthenna(GN),Kegalle,2009-04-09,0,Ds Office,2009,4,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Yatiyanthota(GN),Kegalle,2009-04-09,0,Ds Office,2009,4,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002030,Ingiriya Maha Vidyalaya,Kegalle,2009-06-22,0,EOC,2009,6,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002006,Dambuluwewa(GN),Kegalle,2009-06-27,0,EOC,2009,6,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Dombepola(GN,Kegalle,2009-08-16,0,Ds Office,2009,8,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Nawata(GN),Kegalle,2009-08-16,0,Ds Office,2009,8,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Neluwathukanda(GN),Kegalle,2009-08-16,0,Ds Office,2009,8,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Parussella(GN),Kegalle,2009-08-16,0,Ds Office,2009,8,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Pelellegama(GN),Kegalle,2009-08-16,0,Ds Office,2009,8,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Theligama(GN),Kegalle,2009-08-16,0,Ds Office,2009,8,1
