Disaster,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Guruthalawa (GN),Badulla,2000,12,8,7.1,1
Cyclone,Haputale,Badulla,2000,8,16,11.0,1
Cyclone,Siyambalanduwa,Monaragala,2000,8,23,10.9,0
Cyclone,Haputale,Badulla,2000,8,6,11.0,1
Cyclone,Siyambalanduwa,Monaragala,2000,9,4,9.8,0
Cyclone,Medawela (GN),Badulla,2000,12,8,7.1,1
Cyclone,Siyambalanduwa,Monaragala,2000,9,11,9.8,0
Cyclone,Siyambalanduwa,Monaragala,2000,9,28,9.8,0
Cyclone,Siyambalanduwa,Monaragala,2000,10,23,6.9,0
Cyclone,Siyambalanduwa,Monaragala,2000,12,6,7.7,0
Cyclone,Siyambalanduwa,Monaragala,2000,12,20,7.7,0
Cyclone,Siyambalanduwa,Monaragala,2000,12,26,7.7,0
Cyclone,Rasnayakapura,Kurunegala,2000,12,25,9.3,1
Cyclone,Ellawala Pahalagama(GN),Ratnapura,2000,11,17,6.1,0
Cyclone,Deheragoda(GN),Ratnapura,2000,8,6,12.1,0
Cyclone,Keppetipola (GN),Badulla,2000,12,8,7.1,1
Cyclone,Bogahakumbura (GN),Badulla,2000,12,8,7.1,1
Cyclone,Siyambalanduwa,Monaragala,2000,3,24,5.7,1
Cyclone,Siyambalanduwa,Monaragala,2000,4,26,5.3,1
Cyclone,Pettigala(GN),Ratnapura,2000,12,7,6.7,1
Cyclone,Verugal/ Echchalampattai,Trincomalee,2000,12,26,12.1,0
Cyclone,Trincomalee Town and Gravets,Trincomalee,2000,12,26,12.1,0
Cyclone,Baddegama,Galle,2000,6,1,15.4,1
Cyclone,Thambalagamuwa,Trincomalee,2000,12,26,12.1,0
Cyclone,Dodangoda,Kaluthara,2000,7,10,13.2,1
Cyclone,Rasnayakapura,Kurunegala,2000,12,28,9.3,1
Cyclone,Hadukanda(GN),Ratnapura,2000,5,21,10.1,0
Cyclone,Koralai Pattu West (Oddamavadi,Batticaloa,2000,12,26,11.0,1
Cyclone,Siyambalanduwa,Monaragala,2000,10,20,6.9,1
Cyclone,Siyambalanduwa,Monaragala,2000,8,7,10.9,1
Cyclone,Siyambalanduwa,Monaragala,2000,7,31,11.2,1
Cyclone,Siyambalanduwa,Monaragala,2000,7,25,11.2,1
Cyclone,Alugolla (GN),Badulla,2000,12,8,7.1,1
Cyclone,Siyambalanduwa,Monaragala,2000,7,24,11.2,1
Cyclone,Siyambalanduwa,Monaragala,2000,7,5,11.2,1
Cyclone,Siyambalanduwa,Monaragala,2000,5,29,8.8,1
Cyclone,Naluwela(GN),Ratnapura,2000,8,31,12.1,0
Cyclone,Budunwela(GN),Ratnapura,2000,9,8,11.2,0
Cyclone,Muttettuwegama(GN),Ratnapura,2000,7,18,12.5,0
Cyclone,Wariyapola,Kurunegala,2000,12,25,9.3,1
Cyclone,mollipothana(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Uppuveli(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Ilangathurai(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Ihala Puliyankulama(GN),Anuradhapura,2000,12,26,9.7,1
Cyclone,Annasiwewa,Anuradhapura,2000,12,26,9.7,1
Cyclone,Handungamuwa,Anuradhapura,2000,12,28,9.7,1
Cyclone,Uduhawara (GN),Badulla,2000,12,8,7.1,1
Cyclone,Dorakumbura(GN),Ampara,2000,12,26,9.1,1
Cyclone,Padavi Sri Pura(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Kumburupiddi North(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Pulikandikulama(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Vendrasanpura(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Annal nagar(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Alimnagar(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Srimangalapura(GN),Trincomalee,2000,12,26,12.1,1
Cyclone,Handagiriya(GN),Ratnapura,2000,10,7,8.2,0
Cyclone,Yatipawwa(GN),Ratnapura,2000,2,25,5.0,0
Cyclone,Mahaoya(GN),Ampara,2000,4,10,5.7,0
Cyclone,Pallikkudiyiruppu(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Welimada,Badulla,2000,8,12,11.0,0
Cyclone,Uva Paranagama,Badulla,2000,8,12,11.0,0
Cyclone,Pinnawala(GN),Ratnapura,2000,11,7,6.1,0
Cyclone,Haputale,Badulla,2000,8,7,11.0,1
Cyclone,Haputale,Badulla,2000,9,27,9.7,1
Cyclone,Muttettuwegama(GN),Ratnapura,2000,7,7,12.5,0
Cyclone,Karagasthalawa(GN),Ratnapura,2000,3,7,4.1,0
Cyclone,Mahaoya,Ampara,2000,10,4,6.2,1
Cyclone,Pallewela(GN),Ratnapura,2000,6,23,12.6,0
Cyclone,Wegapitiya(GN),Ratnapura,2000,5,6,10.1,0
Cyclone,Pandeniya(GN),Ratnapura,2000,5,20,10.1,0
Cyclone,Karadiyamulla(GN),Ratnapura,2000,3,3,4.1,0
Cyclone,Rawanakanda(GN),Ratnapura,2000,1,3,6.6,0
Cyclone,Mamalgaha(GN),Ratnapura,2000,2,23,5.0,0
Cyclone,Haputale,Badulla,2000,12,14,7.1,1
Cyclone,Muttur,Trincomalee,2000,12,26,12.1,0
Cyclone,Wegapitiya(GN),Ratnapura,2000,7,6,12.5,0
Cyclone,Siyambalanduwa,Monaragala,2000,12,26,7.7,1
Cyclone,Eheliyagoda,Ratnapura,2000,12,26,6.7,1
Cyclone,Kiriella,Ratnapura,2000,6,8,12.6,1
Cyclone,Kiriella,Ratnapura,2000,5,21,10.1,1
Cyclone,Siyambalanduwa,Monaragala,2000,12,20,7.7,1
Cyclone,Kiriella,Ratnapura,2000,11,17,6.1,1
Cyclone,Gemunupura(GN),Monaragala,2000,6,12,11.3,0
Cyclone,Kiriella,Ratnapura,2000,6,19,12.6,1
