Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day,Rainfall(mm),Wind Speed(mph)
FLOOD,4,4001,4001018.0,Atchuvely South(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001018.0,Atchuvely West(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001018.0,Atchuvely North(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,1,1003,1003024.0,Kalavilakanda(Gn),Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,9,9001,9001006.0,Parakaduwa(Gn),Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,1,1003,1003009.0,Horana (Gn),Kaluthara,2008-05-06,2008,5,6,157.5,11.6
FLOOD,9,9001,9001027.0,Kahawatta(Gn),Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,4,4001,4001027.0,Thondamanaru South(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001027.0,Kerudavil South(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,9,9001,9001012.0,Kahangama(Gn),Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,1,1003,1003003.0,Panadura,Kaluthara,2008-05-06,2008,5,6,157.5,11.6
FLOOD,9,9001,9001030.0,Gangodakanda (Gn),Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,1,1003,1003033.0,"Girikola(Gn), Gorokgoda(Gn)",Kaluthara,2008-05-06,2008,5,6,157.5,11.6
FLOOD,9,9001,9001003.0,Divurumpitiya(Gn),Ratnapura,2008-05-30,2008,5,30,473.2,10.1
FLOOD,9,9001,9001036.0,Kolombugama(Gn),Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,5,5002,5002051.0,"Lahugala,Panama(Gn)",Ampara,2006-12-17,2006,12,17,553.1,9.1
FLOOD,9,9001,9001042.0,Rakwana(Gn),Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,1,1002,1002030.0,Udakanampella South(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Udakanampella North(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Senasungoda(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Galpothugoda(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Poogoda(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Udamapitigama(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Dethamulla(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Nikawela(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Malwana(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Samanabedda(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Walgama East (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Ovitigama(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Malwana Town (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002039.0,Yabaraluwa North (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Meniklanda(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Yabaraluwa South (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Giridara(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Biyagama South (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Kumarimulla(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Biyagama East (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Welgama(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Mabima West (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002039.0,Mabima East (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Samanabedda North(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Thalwatta (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Pahala Mapitigama(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002030.0,Kalukodayawa West(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
