,District,Year,1,2,3,4,5,6,7,8,9,10,11,12
202,Ampara,2015,7.0,224.2,106.2,31.5,148.5,53.6,21.5,26.1,77.9,249.5,306.1,358.6
203,Ampara,2016,83.7,77.5,76.0,0.0,272.9,7.1,8.7,19.3,33.4,12.8,342.2,39.4
204,Ampara,2017,378.1,194.1,95.4,0.3,29.6,1.1,23.5,21.8,24.7,131.5,375.4,199.2
205,Ampara,2018,129.1,92.3,199.8,105.9,14.2,20.2,4.6,31.4,40.7,103.1,336.3,298.3
207,Ampara,2020,191.5,71.5,22.0,46.5,41.2,39.4,56.7,3.4,36.9,46.2,231.7,304.6
208,Ampara,2021,256.5,305.3,193.9,33.8,39.1,54.8,36.2,69.2,57.1,94.1,399.9,218.9
209,Ampara,2022,149.7,278.4,80.7,37.6,0.3,39.6,46.1,61.7,54.9,168.6,141.0,152.3
211,Puttalam,2010,5.6,1.0,7.7,147.1,52.4,11.9,35.3,52.5,247.4,89.9,353.1,330.0
212,Puttalam,2011,84.1,104.5,11.9,171.1,1.9,12.6,23.5,5.2,4.7,179.3,167.3,60.2
213,Puttalam,2012,24.5,28.1,76.0,102.2,1.1,13.6,0.3,18.8,44.2,349.3,164.0,319.1
214,Puttalam,2013,87.4,93.0,78.5,36.6,27.7,3.0,9.9,14.5,101.6,122.1,287.5,43.3
215,Puttalam,2014,97.2,9.2,35.3,208.4,84.9,15.4,0.0,66.2,110.1,250.1,347.0,472.8
216,Puttalam,2015,8.0,32.6,55.1,238.7,202.3,43.6,0.5,17.0,65.6,300.0,416.0,284.9
217,Puttalam,2016,10.1,86.9,26.9,55.0,398.9,72.0,0.2,0.0,0.0,15.1,261.7,12.2
218,Puttalam,2017,124.5,20.3,60.5,23.7,24.6,7.1,2.4,6.0,112.5,147.2,192.8,97.6
219,Puttalam,2018,11.8,37.7,13.4,290.2,390.0,56.7,1.1,0.0,17.6,320.8,205.5,74.4
220,Puttalam,2019,0.2,122.7,33.3,94.3,2.3,40.7,2.3,88.3,288.5,576.1,286.1,199.0
221,Puttalam,2020,1.8,0.4,12.1,99.2,66.0,39.0,86.6,31.8,52.2,24.4,342.0,165.5
225,Ratnapura,2010,233.6,111.9,157.5,438.3,658.5,451.5,367.4,385.5,310.3,436.6,540.3,469.7
226,Ratnapura,2011,205.1,174.3,292.1,731.7,341.5,238.6,225.8,306.7,345.1,187.5,268.2,113.4
227,Ratnapura,2012,36.6,149.9,289.7,432.2,146.9,253.1,204.2,393.9,272.6,365.6,489.7,345.9
228,Ratnapura,2013,96.3,228.3,319.2,280.6,492.3,542.8,317.1,144.4,417.1,361.2,335.3,41.1
229,Ratnapura,2014,293.4,76.8,139.4,420.5,226.0,578.7,233.3,618.6,589.3,813.0,277.6,444.0
230,Ratnapura,2015,93.6,199.0,87.6,434.4,180.3,272.3,173.6,339.3,397.2,525.1,468.3,291.8
231,Ratnapura,2016,139.7,88.9,193.7,396.5,811.3,220.4,193.4,131.9,101.7,156.2,236.6,163.9
232,Ratnapura,2017,38.7,33.1,263.7,200.9,983.3,376.4,183.7,353.0,611.7,511.7,509.1,243.1
233,Ratnapura,2018,14.0,91.6,185.1,394.2,586.4,467.7,160.9,185.4,284.7,438.8,394.4,169.3
235,Ratnapura,2020,122.5,21.4,150.1,191.6,737.1,328.0,253.2,192.9,590.8,207.4,437.7,214.5
236,Ratnapura,2021,183.8,72.0,308.8,212.6,742.4,548.5,368.5,377.1,407.7,508.0,487.4,193.7
237,Ratnapura,2022,204.2,150.9,299.5,432.0,794.1,232.5,259.9,529.8,212.1,685.5,342.0,234.9
239,Trincomalee,2010,48.4,3.8,2.6,2.0,42.2,19.0,23.2,96.3,197.3,71.1,291.9,621.5
240,Trincomalee,2011,817.0,481.5,43.6,196.9,0.9,0.5,34.0,80.4,39.7,544.0,351.4,320.5
241,Trincomalee,2012,12.6,156.2,21.1,13.5,0.6,0.0,15.8,4.4,231.2,596.8,180.7,590.1
242,Trincomalee,2013,200.4,355.2,239.3,2.5,132.3,1.2,64.8,93.0,2.1,34.8,177.4,189.5
243,Trincomalee,2014,164.3,82.8,5.3,1.6,57.0,4.7,25.2,120.0,108.5,160.3,429.5,532.3
