Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Cyclone
40070,GALE,lka008,lka008001,lka008001039,"Viharakele(GN),Ranjallawa(GN),Haputhalegama(GN)",Badulla,2000-08-03,2000,8,0
GA2000,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-08-06,2000,8,1
GA2000,GALE,lka009,lka009001,lka009001009,Deheragoda(GN),Ratnapura,2000-08-06,2000,8,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-08-07,2000,8,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Karagasthalawa(GN),Ratnapura,2000-08-07,2000,8,1
GA2000,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-08-07,2000,8,1
40067,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-08-08,2000,8,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-09,2000,8,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-08-11,2000,8,1
ST2000,STRONG WIND,lka008,lka008001,lka008001030,Welimada,Badulla,2000-08-12,2000,8,1
ST2000,STRONG WIND,lka008,lka008001,lka008001027,Uva Paranagama,Badulla,2000-08-12,2000,8,1
40071,STRONG WIND,lka009,lka009001,lka009001018,Horaketiya(GN),Ratnapura,2000-08-15,2000,8,0
40074,GALE,lka006,lka006002,lka006002033,"Manuwangama West(GN),Manuwangama East (GN),Thissogama(GN)",Puttalam,2000-08-15,2000,8,0
40064,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-08-15,2000,8,0
40075,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-15,2000,8,0
GA2000,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-08-16,2000,8,1
GA2000,GALE,lka008,lka008001,lka008001039,"Viharakele(GN),Ranjallawa(GN),Haputhalegama(GN)",Badulla,2000-08-16,2000,8,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Horaketiya(GN),Ratnapura,2000-08-18,2000,8,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-08-18,2000,8,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Udagama(GN),Ratnapura,2000-08-19,2000,8,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-19,2000,8,1
40076,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-20,2000,8,0
40065,STRONG WIND,lka009,lka009001,lka009001015,Karagasthalawa(GN),Ratnapura,2000-08-22,2000,8,0
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-08-23,2000,8,1
GA2000,GALE,lka008,lka008002,lka008002012,Wattegama(GN),Monaragala,2000-08-23,2000,8,1
GA2000,GALE,lka006,lka006002,lka006002033,"Manuwangama West(GN),Manuwangama East (GN),Thissogama(GN)",Puttalam,2000-08-23,2000,8,1
GA2000,STRONG WIND,lka006,lka006002,lka006002033,Chilaw,Puttalam,2000-08-23,2000,8,1
GA2000,GALE,lka008,lka008002,lka008002012,Siyambalanduwa(GN),Monaragala,2000-08-23,2000,8,1
40072,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-24,2000,8,0
40068,STRONG WIND,lka008,lka008001,lka008001027,Uva Paranagama,Badulla,2000-08-25,2000,8,0
40077,STRONG WIND,lka009,lka009001,lka009001015,Naluwela(GN),Ratnapura,2000-08-25,2000,8,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-26,2000,8,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Welanhinna(GN),Ratnapura,2000-08-26,2000,8,1
40066,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-08-27,2000,8,0
40073,STRONG WIND,lka009,lka009001,lka009001015,Udagama(GN),Ratnapura,2000-08-28,2000,8,0
40069,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-08-30,2000,8,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-31,2000,8,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Naluwela(GN),Ratnapura,2000-08-31,2000,8,1
40082,GALE,lka008,lka008001,lka008001039,"Viharakele(GN),Dodamwatta(GN),Welanhinna(GN)",Badulla,2000-09-03,2000,9,0
40083,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-09-03,2000,9,0
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-09-04,2000,9,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Budunwela(GN),Ratnapura,2000-09-08,2000,9,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Halpe(GN),Ratnapura,2000-09-08,2000,9,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-09-11,2000,9,1
40080,STRONG WIND,lka009,lka009001,lka009001015,Halpe(GN),Ratnapura,2000-09-14,2000,9,0
40084,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-09-15,2000,9,0
40078,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-09-15,2000,9,0
40081,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-09-22,2000,9,0
40079,STRONG WIND,lka009,lka009001,lka009001015,Budunwela(GN),Ratnapura,2000-09-25,2000,9,0
GA2000,GALE,lka008,lka008001,lka008001039,"Viharakele(GN),Dodamwatta(GN),Welanhinna(GN)",Badulla,2000-09-27,2000,9,1
GA2000,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-09-27,2000,9,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Perakumpura(GN),Monaragala,2000-09-28,2000,9,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-09-28,2000,9,1
40086,STRONG WIND,lka009,lka009001,lka009001018,Pallekanda(GN),Ratnapura,2000-10-02,2000,10,0
40087,GALE,lka001,lka001003,lka001003027,,Kaluthara,2000-10-03,2000,10,0
ST2000,STRONG WIND,lka005,lka005002,lka005002009,Mahaoya,Ampara,2000-10-04,2000,10,1
40089,STRONG WIND,lka006,lka006002,lka006002039,Mahawewa,Puttalam,2000-10-05,2000,10,0
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Pallekanda(GN),Ratnapura,2000-10-06,2000,10,1
ST2007,STRONG WIND,lka009,lka009001,lka009001045,Handagiriya(GN),Ratnapura,2000-10-07,2000,10,1
GA2000,GALE,lka001,lka001003,lka001003027,,Kaluthara,2000-10-07,2000,10,1
40090,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-10-16,2000,10,0
GA2000,GALE,lka008,lka008002,lka008002012,Siyambalanduwa (GN),Monaragala,2000-10-20,2000,10,1
ST2000,STRONG WIND,lka006,lka006002,lka006002039,"Thoduwawa South (GN), Thoduwawa East (GN), ",Puttalam,2000-10-20,2000,10,1
ST2000,STRONG WIND,lka006,lka006002,lka006002039,Mahawewa,Puttalam,2000-10-20,2000,10,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-10-20,2000,10,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-10-23,2000,10,1
GA2000,GALE,lka008,lka008002,lka008002012,Perakumpura(GN),Monaragala,2000-10-23,2000,10,1
40085,STRONG WIND,lka005,lka005002,lka005002009,Mahaoya,Ampara,2000-10-24,2000,10,0
40091,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-10-26,2000,10,0
40088,GALE,lka008,lka008002,lka008002012,Siyambalanduwa (GN),Monaragala,2000-10-29,2000,10,0
40093,GALE,lka008,lka008002,lka008002012,Buddama(GN),Monaragala,2000-11-03,2000,11,0
40096,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-11-06,2000,11,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Pinnawala(GN),Ratnapura,2000-11-07,2000,11,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Kiridigala(GN),Ratnapura,2000-11-08,2000,11,1
GA2000,GALE,lka008,lka008002,lka008002012,Buddama(GN),Monaragala,2000-11-09,2000,11,1
GA2000,GALE,lka009,lka009001,lka009001009,Ellawala Pahalagama(GN),Ratnapura,2000-11-17,2000,11,1
GA2000,GALE,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-11-17,2000,11,1
40095,GALE,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-11-19,2000,11,0
40092,STRONG WIND,lka009,lka009001,lka009001018,Kiridigala(GN),Ratnapura,2000-11-19,2000,11,0
40097,GALE,lka008,lka008002,lka008002012,Buddama(GN),Monaragala,2000-11-23,2000,11,0
40094,GALE,lka009,lka009001,lka009001009,Ellawala Pahalagama(GN),Ratnapura,2000-11-25,2000,11,0
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-11-28,2000,11,1
GA2000,GALE,lka008,lka008002,lka008002012,Buddama(GN),Monaragala,2000-11-28,2000,11,1
40163,CYCLONE,lka006,lka006002,lka006002033,Chilaw,Puttalam,2000-12-01,2000,12,0
40138,CYCLONE,lka004,lka004005,,,Kilinochchi,2000-12-01,2000,12,0
40130,CYCLONE,lka005,lka005003,lka005003009,,Trincolmalee,2000-12-01,2000,12,0
40122,CYCLONE,lka005,lka005002,lka005002024,Kalmunai,Ampara,2000-12-01,2000,12,0
40174,STRONG WIND,lka006,lka006001,lka006001018,Nammuwawa (GN),Kurunegala,2000-12-01,2000,12,0
40167,CYCLONE,lka007,lka007001,lka007001054,,Anuradhapura,2000-12-02,2000,12,0
40149,CYCLONE,lka006,lka006002,,,Puttalam,2000-12-02,2000,12,0
40105,STRONG WIND,lka007,lka007001,lka007001045,Ikiriwewa(GN),Anuradhapura,2000-12-03,2000,12,0
40143,STRONG WIND,lka007,lka007001,lka007001021,Kahatagasdigiliya,Anuradhapura,2000-12-03,2000,12,0
40141,STRONG WIND,lka007,lka007001,lka007001054,Kekirawa,Anuradhapura,2000-12-03,2000,12,0
