Disaster,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Ayagama,Ratnapura,2017,11,29,0.2,1
Cyclone,Weligepola,Ratnapura,2017,11,29,0.2,1
Cyclone,Godakawela,Ratnapura,2017,11,29,0.2,1
Cyclone,Kolonna,Ratnapura,2017,11,29,0.2,1
Cyclone,Embilipitiya,Ratnapura,2017,11,29,0.2,1
Cyclone,Rassagala,Ratnapura,2000,2,22,0.18,0
Cyclone,Rassagala,Ratnapura,2000,6,3,0.42,0
Cyclone,Bulathgama,Ratnapura,2000,6,1,0.42,0
Cyclone,Thanjanthenna,Ratnapura,2000,6,6,0.42,0
Cyclone,Pettigala,Ratnapura,2000,12,19,0.22,0
Cyclone,Rajawaka,Ratnapura,2001,9,6,0.37,0
Cyclone,Pallekanda,Ratnapura,2000,10,4,0.26,0
Cyclone,Horaketiya,Ratnapura,2000,8,30,0.39,0
Cyclone,Ellepola,Ratnapura,2007,5,13,0.33,0
Cyclone,Dehigasthalawa,Ratnapura,2007,5,21,0.33,0
Cyclone,Pelmadulla,Ratnapura,2007,6,4,0.42,1
Cyclone,Balangoda,Ratnapura,2005,5,23,0.33,0
Cyclone,Pelmadulla,Ratnapura,2007,6,2,0.42,1
Cyclone,Rassagala,Ratnapura,2007,5,9,0.33,0
Cyclone,Balangoda,Ratnapura,2007,5,26,0.33,0
Cyclone,Kalupedigama,Ratnapura,2007,5,9,0.33,0
Cyclone,Pelmadulla,Ratnapura,2007,5,10,0.33,1
Cyclone,Thalangama,Ratnapura,2007,5,13,0.33,0
Cyclone,Pelmadulla,Ratnapura,2007,5,7,0.33,1
Cyclone,Pelmadulla,Ratnapura,2009,2,24,0.18,1
Cyclone,Pelmadulla,Ratnapura,2009,8,3,0.39,1
Cyclone,Thanjanthenna,Ratnapura,2001,3,7,0.13,0
Cyclone,Bulathgama,Ratnapura,2007,5,5,0.33,0
Cyclone,Theladiriya,Ratnapura,2007,5,3,0.33,0
Cyclone,Horaketiya,Ratnapura,2007,5,9,0.33,0
Cyclone,Mahavilathenna,Ratnapura,2007,5,17,0.33,0
Cyclone,Meddekanda,Ratnapura,2007,5,5,0.33,0
Cyclone,Polwathugoda,Ratnapura,2007,5,20,0.33,0
Cyclone,Wijanathkumbura,Ratnapura,2007,5,12,0.33,0
Cyclone,Pallekanda,Ratnapura,2007,5,5,0.33,0
Cyclone,Rajawaka,Ratnapura,2007,5,26,0.33,0
Cyclone,Embilipitiya,Ratnapura,2018,9,25,0.37,0
Cyclone,Vikiliya,Ratnapura,2007,5,17,0.33,0
Cyclone,Imbulamura,Ratnapura,2007,5,1,0.33,0
Cyclone,Pelmadulla,Ratnapura,2009,7,10,0.4,1
Cyclone,Yatagare,Ratnapura,2006,10,28,0.26,0
Cyclone,Ampitiyawatta,Ratnapura,2001,1,30,0.21,0
Cyclone,Thumbagoda,Ratnapura,2001,6,19,0.42,0
Cyclone,Messana,Ratnapura,2002,6,8,0.42,0
Cyclone,Rajawaka,Ratnapura,2002,4,20,0.18,0
